node: 0, parent: -1, adj: [141730, 21454]
node: 172177, parent: 95494, adj: [156276, 95494]
node: 156276, parent: 172177, adj: [4544, 172177]
node: 4544, parent: 156276, adj: [141028, 156276]
node: 141028, parent: 4544, adj: [8079, 4544]
node: 8079, parent: 141028, adj: [171251, 141028]
node: 171251, parent: 8079, adj: [172863, 8079]
node: 172863, parent: 171251, adj: [76560, 171251]
node: 76560, parent: 172863, adj: [93798, 172863]
node: 93798, parent: 76560, adj: [73879, 76560]
node: 73879, parent: 93798, adj: [112559, 93798]
node: 112559, parent: 73879, adj: [161982, 73879]
node: 161982, parent: 112559, adj: [147868, 112559]
node: 147868, parent: 161982, adj: [78297, 161982]
node: 78297, parent: 147868, adj: [35022, 147868]
node: 35022, parent: 78297, adj: [125058, 78297]
node: 125058, parent: 35022, adj: [76014, 35022]
node: 76014, parent: 125058, adj: [29414, 125058]
node: 29414, parent: 76014, adj: [151928, 76014]
node: 151928, parent: 29414, adj: [48305, 29414]
node: 48305, parent: 151928, adj: [199829, 151928]
node: 199829, parent: 48305, adj: [52345, 48305]
node: 52345, parent: 199829, adj: [147075, 199829]
node: 147075, parent: 52345, adj: [65890, 52345]
node: 65890, parent: 147075, adj: [118316, 147075]
node: 118316, parent: 65890, adj: [190154, 65890]
node: 190154, parent: 118316, adj: [179083, 118316]
node: 179083, parent: 190154, adj: [119842, 190154]
node: 119842, parent: 179083, adj: [135273, 179083]
node: 135273, parent: 119842, adj: [179835, 119842]
node: 179835, parent: 135273, adj: [141911, 135273]
node: 141911, parent: 179835, adj: [62903, 179835]
node: 62903, parent: 141911, adj: [4352, 141911]
node: 4352, parent: 62903, adj: [38688, 62903]
node: 38688, parent: 4352, adj: [30392, 4352]
node: 30392, parent: 38688, adj: [29766, 38688]
node: 29766, parent: 30392, adj: [159786, 30392]
node: 159786, parent: 29766, adj: [167579, 29766]
node: 167579, parent: 159786, adj: [68528, 159786]
node: 68528, parent: 167579, adj: [2131, 167579]
node: 2131, parent: 68528, adj: [39376, 68528]
node: 39376, parent: 2131, adj: [44291, 2131]
node: 44291, parent: 39376, adj: [88888, 39376]
node: 88888, parent: 44291, adj: [39457, 44291]
node: 39457, parent: 88888, adj: [143177, 88888]
node: 143177, parent: 39457, adj: [45844, 39457]
node: 45844, parent: 143177, adj: [178649, 143177]
node: 178649, parent: 45844, adj: [148402, 45844]
node: 148402, parent: 178649, adj: [160309, 178649]
node: 160309, parent: 148402, adj: [45228, 148402]
node: 45228, parent: 160309, adj: [166781, 160309]
node: 166781, parent: 45228, adj: [69121, 45228]
node: 69121, parent: 166781, adj: [165882, 166781]
node: 165882, parent: 69121, adj: [64950, 69121]
node: 64950, parent: 165882, adj: [8424, 165882]
node: 8424, parent: 64950, adj: [30455, 64950]
node: 30455, parent: 8424, adj: [87786, 8424]
node: 87786, parent: 30455, adj: [153749, 30455]
node: 153749, parent: 87786, adj: [21829, 87786]
node: 21829, parent: 153749, adj: [178973, 153749]
node: 178973, parent: 21829, adj: [11495, 21829]
node: 11495, parent: 178973, adj: [52400, 178973]
node: 52400, parent: 11495, adj: [106265, 11495]
node: 106265, parent: 52400, adj: [108623, 52400]
node: 108623, parent: 106265, adj: [111558, 106265]
node: 111558, parent: 108623, adj: [28698, 108623]
node: 28698, parent: 111558, adj: [46709, 111558]
node: 46709, parent: 28698, adj: [156768, 28698]
node: 156768, parent: 46709, adj: [104809, 46709]
node: 104809, parent: 156768, adj: [20537, 156768]
node: 20537, parent: 104809, adj: [122159, 104809]
node: 122159, parent: 20537, adj: [737, 20537]
node: 737, parent: 122159, adj: [40166, 122159]
node: 40166, parent: 737, adj: [110837, 737]
node: 110837, parent: 40166, adj: [41797, 40166]
node: 41797, parent: 110837, adj: [45752, 110837]
node: 45752, parent: 41797, adj: [147160, 41797]
node: 147160, parent: 45752, adj: [162631, 45752]
node: 162631, parent: 147160, adj: [82247, 147160]
node: 82247, parent: 162631, adj: [1122, 162631]
node: 1122, parent: 82247, adj: [183092, 82247]
node: 183092, parent: 1122, adj: [101448, 1122]
node: 101448, parent: 183092, adj: [162760, 183092]
node: 162760, parent: 101448, adj: [35582, 101448]
node: 35582, parent: 162760, adj: [198729, 162760]
node: 198729, parent: 35582, adj: [163094, 35582]
node: 163094, parent: 198729, adj: [24346, 198729]
node: 24346, parent: 163094, adj: [91696, 163094]
node: 91696, parent: 24346, adj: [115739, 24346]
node: 115739, parent: 91696, adj: [81888, 91696]
node: 81888, parent: 115739, adj: [101382, 115739]
node: 101382, parent: 81888, adj: [15076, 81888]
node: 15076, parent: 101382, adj: [128500, 101382]
node: 128500, parent: 15076, adj: [14017, 15076]
node: 14017, parent: 128500, adj: [162388, 128500]
node: 162388, parent: 14017, adj: [153846, 14017]
node: 153846, parent: 162388, adj: [46646, 162388]
node: 46646, parent: 153846, adj: [98576, 153846]
node: 98576, parent: 46646, adj: [172759, 46646]
node: 172759, parent: 98576, adj: [63805, 98576]
node: 63805, parent: 172759, adj: [171013, 172759]
node: 171013, parent: 63805, adj: [154264, 63805]
node: 154264, parent: 171013, adj: [85905, 171013]
node: 85905, parent: 154264, adj: [167267, 154264]
node: 167267, parent: 85905, adj: [131336, 85905]
node: 131336, parent: 167267, adj: [87671, 167267]
node: 87671, parent: 131336, adj: [96929, 131336]
node: 96929, parent: 87671, adj: [70799, 87671]
node: 70799, parent: 96929, adj: [63362, 96929]
node: 63362, parent: 70799, adj: [155287, 70799]
node: 155287, parent: 63362, adj: [167983, 63362]
node: 167983, parent: 155287, adj: [3421, 155287]
node: 3421, parent: 167983, adj: [86155, 167983]
node: 86155, parent: 3421, adj: [26417, 3421]
node: 26417, parent: 86155, adj: [37032, 86155]
node: 37032, parent: 26417, adj: [187635, 26417]
node: 187635, parent: 37032, adj: [4804, 37032]
node: 4804, parent: 187635, adj: [7462, 187635]
node: 7462, parent: 4804, adj: [165128, 4804]
node: 165128, parent: 7462, adj: [3165, 7462]
node: 3165, parent: 165128, adj: [104907, 165128]
node: 104907, parent: 3165, adj: [195622, 3165]
node: 195622, parent: 104907, adj: [175165, 104907]
node: 175165, parent: 195622, adj: [182840, 195622]
node: 182840, parent: 175165, adj: [174754, 175165]
node: 174754, parent: 182840, adj: [26743, 182840]
node: 26743, parent: 174754, adj: [25979, 174754]
node: 25979, parent: 26743, adj: [152578, 26743]
node: 152578, parent: 25979, adj: [23167, 25979]
node: 23167, parent: 152578, adj: [108466, 152578]
node: 108466, parent: 23167, adj: [97652, 23167]
node: 97652, parent: 108466, adj: [105629, 108466]
node: 105629, parent: 97652, adj: [137093, 97652]
node: 137093, parent: 105629, adj: [41693, 105629]
node: 41693, parent: 137093, adj: [108573, 137093]
node: 108573, parent: 41693, adj: [145139, 41693]
node: 145139, parent: 108573, adj: [68773, 108573]
node: 68773, parent: 145139, adj: [162143, 145139]
node: 162143, parent: 68773, adj: [171667, 68773]
node: 171667, parent: 162143, adj: [91385, 162143]
node: 91385, parent: 171667, adj: [132696, 171667]
node: 132696, parent: 91385, adj: [153756, 91385]
node: 153756, parent: 132696, adj: [35274, 132696]
node: 35274, parent: 153756, adj: [162710, 153756]
node: 162710, parent: 35274, adj: [49395, 35274]
node: 49395, parent: 162710, adj: [145736, 162710]
node: 145736, parent: 49395, adj: [111091, 49395]
node: 111091, parent: 145736, adj: [119404, 145736]
node: 119404, parent: 111091, adj: [72439, 111091]
node: 72439, parent: 119404, adj: [37487, 119404]
node: 37487, parent: 72439, adj: [104256, 72439]
node: 104256, parent: 37487, adj: [114614, 37487]
node: 114614, parent: 104256, adj: [59088, 104256]
node: 59088, parent: 114614, adj: [161925, 114614]
node: 161925, parent: 59088, adj: [72751, 59088]
node: 72751, parent: 161925, adj: [141152, 161925]
node: 141152, parent: 72751, adj: [109741, 72751]
node: 109741, parent: 141152, adj: [115349, 141152]
node: 115349, parent: 109741, adj: [21212, 109741]
node: 21212, parent: 115349, adj: [188238, 115349]
node: 188238, parent: 21212, adj: [45303, 21212]
node: 45303, parent: 188238, adj: [42544, 188238]
node: 42544, parent: 45303, adj: [181448, 45303]
node: 181448, parent: 42544, adj: [94222, 42544]
node: 94222, parent: 181448, adj: [168769, 181448]
node: 168769, parent: 94222, adj: [196587, 94222]
node: 196587, parent: 168769, adj: [89237, 168769]
node: 89237, parent: 196587, adj: [165109, 196587]
node: 165109, parent: 89237, adj: [77049, 89237]
node: 77049, parent: 165109, adj: [157730, 165109]
node: 157730, parent: 77049, adj: [118083, 77049]
node: 118083, parent: 157730, adj: [197670, 157730]
node: 197670, parent: 118083, adj: [172608, 118083]
node: 172608, parent: 197670, adj: [31621, 197670]
node: 31621, parent: 172608, adj: [49426, 172608]
node: 49426, parent: 31621, adj: [131828, 31621]
node: 131828, parent: 49426, adj: [11590, 49426]
node: 11590, parent: 131828, adj: [173472, 131828]
node: 173472, parent: 11590, adj: [104992, 11590]
node: 104992, parent: 173472, adj: [62645, 173472]
node: 62645, parent: 104992, adj: [108918, 104992]
node: 108918, parent: 62645, adj: [162434, 62645]
node: 162434, parent: 108918, adj: [100963, 108918]
node: 100963, parent: 162434, adj: [1675, 162434]
node: 1675, parent: 100963, adj: [24343, 100963]
node: 24343, parent: 1675, adj: [91390, 1675]
node: 91390, parent: 24343, adj: [66733, 24343]
node: 66733, parent: 91390, adj: [26025, 91390]
node: 26025, parent: 66733, adj: [7750, 66733]
node: 7750, parent: 26025, adj: [15764, 26025]
node: 15764, parent: 7750, adj: [175420, 7750]
node: 175420, parent: 15764, adj: [41737, 15764]
node: 41737, parent: 175420, adj: [131287, 175420]
node: 131287, parent: 41737, adj: [23666, 41737]
node: 23666, parent: 131287, adj: [10653, 131287]
node: 10653, parent: 23666, adj: [107359, 23666]
node: 107359, parent: 10653, adj: [126749, 10653]
node: 126749, parent: 107359, adj: [92217, 107359]
node: 92217, parent: 126749, adj: [111175, 126749]
node: 111175, parent: 92217, adj: [152174, 92217]
node: 152174, parent: 111175, adj: [111412, 111175]
node: 111412, parent: 152174, adj: [20848, 152174]
node: 20848, parent: 111412, adj: [55976, 111412]
node: 55976, parent: 20848, adj: [177368, 20848]
node: 177368, parent: 55976, adj: [199766, 55976]
node: 199766, parent: 177368, adj: [155087, 177368]
node: 155087, parent: 199766, adj: [65589, 199766]
node: 65589, parent: 155087, adj: [158547, 155087]
node: 158547, parent: 65589, adj: [158923, 65589]
node: 158923, parent: 158547, adj: [171849, 158547]
node: 171849, parent: 158923, adj: [136101, 158923]
node: 136101, parent: 171849, adj: [46090, 171849]
node: 46090, parent: 136101, adj: [76763, 136101]
node: 76763, parent: 46090, adj: [143622, 46090]
node: 143622, parent: 76763, adj: [187090, 76763]
node: 187090, parent: 143622, adj: [61773, 143622]
node: 61773, parent: 187090, adj: [42944, 187090]
node: 42944, parent: 61773, adj: [54416, 61773]
node: 54416, parent: 42944, adj: [48745, 42944]
node: 48745, parent: 54416, adj: [146601, 54416]
node: 146601, parent: 48745, adj: [196569, 48745]
node: 196569, parent: 146601, adj: [36707, 146601]
node: 36707, parent: 196569, adj: [21395, 196569]
node: 21395, parent: 36707, adj: [59196, 36707]
node: 59196, parent: 21395, adj: [131271, 21395]
node: 131271, parent: 59196, adj: [96525, 59196]
node: 96525, parent: 131271, adj: [173422, 131271]
node: 173422, parent: 96525, adj: [69721, 96525]
node: 69721, parent: 173422, adj: [85544, 173422]
node: 85544, parent: 69721, adj: [163501, 69721]
node: 163501, parent: 85544, adj: [95006, 85544]
node: 95006, parent: 163501, adj: [184287, 163501]
node: 184287, parent: 95006, adj: [17936, 95006]
node: 17936, parent: 184287, adj: [106038, 184287]
node: 106038, parent: 17936, adj: [114713, 17936]
node: 114713, parent: 106038, adj: [109642, 106038]
node: 109642, parent: 114713, adj: [84887, 114713]
node: 84887, parent: 109642, adj: [163005, 109642]
node: 163005, parent: 84887, adj: [118719, 84887]
node: 118719, parent: 163005, adj: [89329, 163005]
node: 89329, parent: 118719, adj: [172632, 118719]
node: 172632, parent: 89329, adj: [145414, 89329]
node: 145414, parent: 172632, adj: [65538, 172632]
node: 65538, parent: 145414, adj: [106410, 145414]
node: 106410, parent: 65538, adj: [174590, 65538]
node: 174590, parent: 106410, adj: [193489, 106410]
node: 193489, parent: 174590, adj: [192429, 174590]
node: 192429, parent: 193489, adj: [17888, 193489]
node: 17888, parent: 192429, adj: [73319, 192429]
node: 73319, parent: 17888, adj: [69849, 17888]
node: 69849, parent: 73319, adj: [74937, 73319]
node: 74937, parent: 69849, adj: [171586, 69849]
node: 171586, parent: 74937, adj: [189946, 74937]
node: 189946, parent: 171586, adj: [75121, 171586]
node: 75121, parent: 189946, adj: [92130, 189946]
node: 92130, parent: 75121, adj: [30649, 75121]
node: 30649, parent: 92130, adj: [181566, 92130]
node: 181566, parent: 30649, adj: [126613, 30649]
node: 126613, parent: 181566, adj: [7911, 181566]
node: 7911, parent: 126613, adj: [28549, 126613]
node: 28549, parent: 7911, adj: [100699, 7911]
node: 100699, parent: 28549, adj: [104421, 28549]
node: 104421, parent: 100699, adj: [167815, 100699]
node: 167815, parent: 104421, adj: [6447, 104421]
node: 6447, parent: 167815, adj: [19883, 167815]
node: 19883, parent: 6447, adj: [86614, 6447]
node: 86614, parent: 19883, adj: [128403, 19883]
node: 128403, parent: 86614, adj: [194102, 86614]
node: 194102, parent: 128403, adj: [183429, 128403]
node: 183429, parent: 194102, adj: [63535, 194102]
node: 63535, parent: 183429, adj: [92008, 183429]
node: 92008, parent: 63535, adj: [180292, 63535]
node: 180292, parent: 92008, adj: [39637, 92008]
node: 39637, parent: 180292, adj: [176389, 180292]
node: 176389, parent: 39637, adj: [183592, 39637]
node: 183592, parent: 176389, adj: [32289, 176389]
node: 32289, parent: 183592, adj: [118798, 183592]
node: 118798, parent: 32289, adj: [12562, 32289]
node: 12562, parent: 118798, adj: [75653, 118798]
node: 75653, parent: 12562, adj: [89469, 12562]
node: 89469, parent: 75653, adj: [151214, 75653]
node: 151214, parent: 89469, adj: [23821, 89469]
node: 23821, parent: 151214, adj: [42492, 151214]
node: 42492, parent: 23821, adj: [8138, 23821]
node: 8138, parent: 42492, adj: [9390, 42492]
node: 9390, parent: 8138, adj: [112006, 8138]
node: 112006, parent: 9390, adj: [94327, 9390]
node: 94327, parent: 112006, adj: [80189, 112006]
node: 80189, parent: 94327, adj: [127171, 94327]
node: 127171, parent: 80189, adj: [124879, 80189]
node: 124879, parent: 127171, adj: [23374, 127171]
node: 23374, parent: 124879, adj: [98585, 124879]
node: 98585, parent: 23374, adj: [102210, 23374]
node: 102210, parent: 98585, adj: [79551, 98585]
node: 79551, parent: 102210, adj: [116705, 102210]
node: 116705, parent: 79551, adj: [35034, 79551]
node: 35034, parent: 116705, adj: [28820, 116705]
node: 28820, parent: 35034, adj: [3744, 35034]
node: 3744, parent: 28820, adj: [117778, 28820]
node: 117778, parent: 3744, adj: [75204, 3744]
node: 75204, parent: 117778, adj: [69404, 117778]
node: 69404, parent: 75204, adj: [152530, 75204]
node: 152530, parent: 69404, adj: [13557, 69404]
node: 13557, parent: 152530, adj: [45902, 152530]
node: 45902, parent: 13557, adj: [3412, 13557]
node: 3412, parent: 45902, adj: [44281, 45902]
node: 44281, parent: 3412, adj: [15241, 3412]
node: 15241, parent: 44281, adj: [36152, 44281]
node: 36152, parent: 15241, adj: [38276, 15241]
node: 38276, parent: 36152, adj: [164825, 36152]
node: 164825, parent: 38276, adj: [149027, 38276]
node: 149027, parent: 164825, adj: [138439, 164825]
node: 138439, parent: 149027, adj: [21942, 149027]
node: 21942, parent: 138439, adj: [13305, 138439]
node: 13305, parent: 21942, adj: [105591, 21942]
node: 105591, parent: 13305, adj: [175812, 13305]
node: 175812, parent: 105591, adj: [23475, 105591]
node: 23475, parent: 175812, adj: [52207, 175812]
node: 52207, parent: 23475, adj: [96119, 23475]
node: 96119, parent: 52207, adj: [44519, 52207]
node: 44519, parent: 96119, adj: [70580, 96119]
node: 70580, parent: 44519, adj: [133142, 44519]
node: 133142, parent: 70580, adj: [90783, 70580]
node: 90783, parent: 133142, adj: [117085, 133142]
node: 117085, parent: 90783, adj: [74725, 90783]
node: 74725, parent: 117085, adj: [111736, 117085]
node: 111736, parent: 74725, adj: [35877, 74725]
node: 35877, parent: 111736, adj: [44088, 111736]
node: 44088, parent: 35877, adj: [182029, 35877]
node: 182029, parent: 44088, adj: [66184, 44088]
node: 66184, parent: 182029, adj: [19490, 182029]
node: 19490, parent: 66184, adj: [44315, 66184]
node: 44315, parent: 19490, adj: [156632, 19490]
node: 156632, parent: 44315, adj: [183466, 44315]
node: 183466, parent: 156632, adj: [130453, 156632]
node: 130453, parent: 183466, adj: [133012, 183466]
node: 133012, parent: 130453, adj: [6371, 130453]
node: 6371, parent: 133012, adj: [71937, 133012]
node: 71937, parent: 6371, adj: [77148, 6371]
node: 77148, parent: 71937, adj: [50073, 71937]
node: 50073, parent: 77148, adj: [41029, 77148]
node: 41029, parent: 50073, adj: [61489, 50073]
node: 61489, parent: 41029, adj: [141880, 41029]
node: 141880, parent: 61489, adj: [109956, 61489]
node: 109956, parent: 141880, adj: [126267, 141880]
node: 126267, parent: 109956, adj: [62446, 109956]
node: 62446, parent: 126267, adj: [47668, 126267]
node: 47668, parent: 62446, adj: [15490, 62446]
node: 15490, parent: 47668, adj: [162352, 47668]
node: 162352, parent: 15490, adj: [127726, 15490]
node: 127726, parent: 162352, adj: [58358, 162352]
node: 58358, parent: 127726, adj: [19758, 127726]
node: 19758, parent: 58358, adj: [1382, 58358]
node: 1382, parent: 19758, adj: [125574, 19758]
node: 125574, parent: 1382, adj: [139034, 1382]
node: 139034, parent: 125574, adj: [33808, 125574]
node: 33808, parent: 139034, adj: [152134, 139034]
node: 152134, parent: 33808, adj: [45344, 33808]
node: 45344, parent: 152134, adj: [64437, 152134]
node: 64437, parent: 45344, adj: [103863, 45344]
node: 103863, parent: 64437, adj: [190808, 64437]
node: 190808, parent: 103863, adj: [175600, 103863]
node: 175600, parent: 190808, adj: [73383, 190808]
node: 73383, parent: 175600, adj: [124239, 175600]
node: 124239, parent: 73383, adj: [59085, 73383]
node: 59085, parent: 124239, adj: [11864, 124239]
node: 11864, parent: 59085, adj: [66119, 59085]
node: 66119, parent: 11864, adj: [72183, 11864]
node: 72183, parent: 66119, adj: [141080, 66119]
node: 141080, parent: 72183, adj: [53278, 72183]
node: 53278, parent: 141080, adj: [112804, 141080]
node: 112804, parent: 53278, adj: [52684, 53278]
node: 52684, parent: 112804, adj: [99754, 112804]
node: 99754, parent: 52684, adj: [194556, 52684]
node: 194556, parent: 99754, adj: [144548, 99754]
node: 144548, parent: 194556, adj: [124837, 194556]
node: 124837, parent: 144548, adj: [58144, 144548]
node: 58144, parent: 124837, adj: [178615, 124837]
node: 178615, parent: 58144, adj: [139860, 58144]
node: 139860, parent: 178615, adj: [95771, 178615]
node: 95771, parent: 139860, adj: [76147, 139860]
node: 76147, parent: 95771, adj: [113861, 95771]
node: 113861, parent: 76147, adj: [197078, 76147]
node: 197078, parent: 113861, adj: [129464, 113861]
node: 129464, parent: 197078, adj: [72025, 197078]
node: 72025, parent: 129464, adj: [173310, 129464]
node: 173310, parent: 72025, adj: [69455, 72025]
node: 69455, parent: 173310, adj: [38991, 173310]
node: 38991, parent: 69455, adj: [167751, 69455]
node: 167751, parent: 38991, adj: [36501, 38991]
node: 36501, parent: 167751, adj: [57272, 167751]
node: 57272, parent: 36501, adj: [193053, 36501]
node: 193053, parent: 57272, adj: [186866, 57272]
node: 186866, parent: 193053, adj: [106843, 193053]
node: 106843, parent: 186866, adj: [205, 186866]
node: 205, parent: 106843, adj: [114073, 106843]
node: 114073, parent: 205, adj: [119721, 205]
node: 119721, parent: 114073, adj: [48461, 114073]
node: 48461, parent: 119721, adj: [184071, 119721]
node: 184071, parent: 48461, adj: [165899, 48461]
node: 165899, parent: 184071, adj: [118402, 184071]
node: 118402, parent: 165899, adj: [85795, 165899]
node: 85795, parent: 118402, adj: [47035, 118402]
node: 47035, parent: 85795, adj: [70445, 85795]
node: 70445, parent: 47035, adj: [125262, 47035]
node: 125262, parent: 70445, adj: [65798, 70445]
node: 65798, parent: 125262, adj: [2807, 125262]
node: 2807, parent: 65798, adj: [181520, 65798]
node: 181520, parent: 2807, adj: [137059, 2807]
node: 137059, parent: 181520, adj: [4044, 181520]
node: 4044, parent: 137059, adj: [144235, 137059]
node: 144235, parent: 4044, adj: [118717, 4044]
node: 118717, parent: 144235, adj: [24939, 144235]
node: 24939, parent: 118717, adj: [178893, 118717]
node: 178893, parent: 24939, adj: [82369, 24939]
node: 82369, parent: 178893, adj: [87203, 178893]
node: 87203, parent: 82369, adj: [60660, 82369]
node: 60660, parent: 87203, adj: [8650, 87203]
node: 8650, parent: 60660, adj: [60942, 60660]
node: 60942, parent: 8650, adj: [29463, 8650]
node: 29463, parent: 60942, adj: [8692, 60942]
node: 8692, parent: 29463, adj: [17482, 29463]
node: 17482, parent: 8692, adj: [192873, 8692]
node: 192873, parent: 17482, adj: [156163, 17482]
node: 156163, parent: 192873, adj: [58162, 192873]
node: 58162, parent: 156163, adj: [59624, 156163]
node: 59624, parent: 58162, adj: [70348, 58162]
node: 70348, parent: 59624, adj: [126243, 59624]
node: 126243, parent: 70348, adj: [45917, 70348]
node: 45917, parent: 126243, adj: [146281, 126243]
node: 146281, parent: 45917, adj: [52881, 45917]
node: 52881, parent: 146281, adj: [32687, 146281]
node: 32687, parent: 52881, adj: [29534, 52881]
node: 29534, parent: 32687, adj: [109111, 32687]
node: 109111, parent: 29534, adj: [176733, 29534]
node: 176733, parent: 109111, adj: [80490, 109111]
node: 80490, parent: 176733, adj: [56714, 176733]
node: 56714, parent: 80490, adj: [154093, 80490]
node: 154093, parent: 56714, adj: [31411, 56714]
node: 31411, parent: 154093, adj: [169623, 154093]
node: 169623, parent: 31411, adj: [127715, 31411]
node: 127715, parent: 169623, adj: [151010, 169623]
node: 151010, parent: 127715, adj: [84353, 127715]
node: 84353, parent: 151010, adj: [97296, 151010]
node: 97296, parent: 84353, adj: [89420, 84353]
node: 89420, parent: 97296, adj: [86712, 97296]
node: 86712, parent: 89420, adj: [164676, 89420]
node: 164676, parent: 86712, adj: [27000, 86712]
node: 27000, parent: 164676, adj: [117353, 164676]
node: 117353, parent: 27000, adj: [59158, 27000]
node: 59158, parent: 117353, adj: [34096, 117353]
node: 34096, parent: 59158, adj: [80048, 59158]
node: 80048, parent: 34096, adj: [1821, 34096]
node: 1821, parent: 80048, adj: [129018, 80048]
node: 129018, parent: 1821, adj: [191365, 1821]
node: 191365, parent: 129018, adj: [174035, 129018]
node: 174035, parent: 191365, adj: [59835, 191365]
node: 59835, parent: 174035, adj: [98594, 174035]
node: 98594, parent: 59835, adj: [48950, 59835]
node: 48950, parent: 98594, adj: [118258, 98594]
node: 118258, parent: 48950, adj: [182543, 48950]
node: 182543, parent: 118258, adj: [65565, 118258]
node: 65565, parent: 182543, adj: [41867, 182543]
node: 41867, parent: 65565, adj: [101998, 65565]
node: 101998, parent: 41867, adj: [190079, 41867]
node: 190079, parent: 101998, adj: [28291, 101998]
node: 28291, parent: 190079, adj: [9984, 190079]
